geneid	a1	a2	a3	b1	b2	b3
"Zm00001d029826"	162.00	242.00	309.00	174.00	220.00	168.00
"Zm00001d029829"	2.00	5.00	15.00	50.00	92.00	59.00
"Zm00001d029832"	85.00	113.00	100.00	102.00	103.00	101.00
"Zm00001d029833"	62.00	99.00	93.00	120.00	122.00	90.00
"Zm00001d029835"	136.00	118.00	68.00	21.00	40.00	28.00
"Zm00001d029839"	60.00	52.00	16.00	77.00	54.00	35.00
"Zm00001d029840"	12.00	29.00	19.00	47.00	63.00	45.00
"Zm00001d029842"	0.00	0.00	0.00	0.00	0.00	3.00
"Zm00001d029846"	61.00	75.00	75.00	126.00	92.00	98.00
"Zm00001d029847"	2.00	7.00	7.00	216.00	313.00	195.00
"Zm00001d029848"	719.00	809.00	915.00	1000.00	1106.00	826.00
"Zm00001d029849"	256.00	250.00	236.00	277.00	285.00	193.00
"Zm00001d029850"	0.00	0.00	0.00	3.00	4.00	5.00
"Zm00001d029852"	1.00	0.00	0.00	0.00	1.00	1.00
"Zm00001d029853"	919.00	1047.00	3091.00	1195.00	1252.00	1319.00
"Zm00001d029855"	354.00	286.00	180.00	836.00	213.00	254.00
"Zm00001d029856"	93.00	70.00	116.00	100.00	128.42	90.00
"Zm00001d029860"	128.00	183.00	117.00	389.00	373.00	310.00
"Zm00001d029861"	7.00	4.00	5.00	14.00	18.00	15.00
"Zm00001d029862"	78.00	115.00	184.00	77.00	93.00	77.00
"Zm00001d029865"	529.00	572.00	476.00	386.00	355.00	265.00
"Zm00001d029868"	85.00	105.00	69.00	100.00	94.00	89.00
"Zm00001d029869"	2.00	6.00	36.00	0.00	4.00	6.00
"Zm00001d029872"	87.00	101.00	173.00	169.00	160.00	198.00
"Zm00001d029875"	346.00	336.00	521.00	180.00	210.00	208.00
"Zm00001d029878"	5.00	22.00	7.00	24.00	30.00	24.00
"Zm00001d029884"	10.00	4.00	3.00	3.00	11.00	12.00
"Zm00001d029885"	368.00	441.00	172.00	47.00	68.00	54.00
"Zm00001d029886"	21.00	38.00	3.00	29.00	15.00	14.00
"Zm00001d029887"	115.00	188.00	119.00	154.00	173.00	147.00
"Zm00001d029888"	4.00	10.00	11.00	10.00	10.00	6.00
"Zm00001d029889"	577.00	673.00	697.00	897.00	704.00	635.00
"Zm00001d029892"	350.00	532.00	201.00	397.00	471.00	382.00
"Zm00001d029893"	3.00	1.00	5.00	0.00	0.00	1.00
"Zm00001d029896"	1.00	2.00	5.00	1.00	1.00	0.00
"Zm00001d029897"	8.99	40.37	10.14	383.63	210.40	199.89
"Zm00001d029898"	3555.01	4284.63	4804.86	1642.37	1765.60	1757.11
"Zm00001d029899"	2.00	0.00	0.00	0.00	1.00	0.00
"Zm00001d029903"	1.00	7.00	0.00	6.00	2.00	2.00
"Zm00001d029906"	0.00	4.00	0.00	1.00	4.00	4.00
"Zm00001d029910"	106.00	117.00	101.00	507.00	395.00	312.00
"Zm00001d029913"	8.00	3.00	3.00	2.00	3.00	1.00
"Zm00001d029917"	0.00	0.00	0.00	2.00	5.00	0.00
"Zm00001d029918"	84.00	78.00	60.00	74.00	68.00	57.00
"Zm00001d029919"	203.75	231.86	210.63	138.83	181.11	153.91
"Zm00001d029920"	9.25	45.14	53.37	50.17	67.89	59.09
"Zm00001d029922"	2.00	2.00	9.00	0.00	0.00	2.00
"Zm00001d029924"	87.00	81.00	58.00	231.00	221.00	191.00
"Zm00001d029932"	2141.00	3302.00	2090.00	2830.00	3636.00	2775.00
"Zm00001d029934"	342.00	540.00	247.00	88.00	116.00	141.00
"Zm00001d029937"	9.00	5.00	3.00	18.00	3.00	7.00
"Zm00001d029938"	323.00	528.00	331.00	814.00	500.00	419.00
"Zm00001d029940"	419.00	533.00	457.00	250.00	300.00	231.00
"Zm00001d029946"	2.00	0.00	0.00	20.00	14.00	10.00
"Zm00001d029947"	0.00	0.00	3.00	0.00	0.00	0.00
"Zm00001d029948"	2.00	0.00	0.00	0.00	1.00	3.00
"Zm00001d029950"	53.00	45.00	103.00	49.00	83.00	63.00
"Zm00001d029955"	273.00	280.00	564.00	120.00	111.00	122.00
"Zm00001d029959"	3.00	4.03	0.00	8.85	18.67	14.29
"Zm00001d029963"	1637.00	1900.00	1810.00	1040.00	1179.00	1084.00
"Zm00001d029965"	3235.00	3437.00	3801.00	1873.00	2053.00	1868.00
"Zm00001d029968"	621.00	741.00	653.00	1441.00	1668.00	1245.00
"Zm00001d029969"	251.00	347.00	492.00	390.00	409.00	369.00
"Zm00001d029970"	11.00	7.00	0.00	11.00	9.00	4.00
"Zm00001d029973"	342.00	349.00	286.00	398.00	464.00	324.00
"Zm00001d029974"	2809.00	3773.00	2617.00	781.00	1010.00	1120.00
"Zm00001d029975"	99.00	130.00	154.00	165.00	183.00	127.00
"Zm00001d029976"	258.00	319.00	682.00	251.00	302.00	297.00
"Zm00001d029978"	192.00	221.00	138.00	506.00	509.00	421.00
"Zm00001d029979"	44.00	34.00	43.00	355.00	349.00	349.00
"Zm00001d029980"	22.00	33.00	27.00	171.00	180.00	101.00
"Zm00001d029981"	0.00	0.00	0.00	3.00	0.00	1.00
"Zm00001d029983"	6610.00	6840.00	7306.00	3506.00	2551.00	2413.00
"Zm00001d029986"	3.00	9.00	3.00	10.47	17.93	8.80
"Zm00001d029987"	1.00	0.00	0.00	0.00	1.00	1.00
"Zm00001d029988"	29.00	35.00	54.00	15.00	10.00	12.00
"Zm00001d029994"	8.02	5.32	4.01	6.05	4.01	4.02
"Zm00001d029996"	1.00	3.00	0.00	381.00	324.00	359.00
"Zm00001d029997"	196.74	236.52	212.84	145.81	236.10	130.68
"Zm00001d029999"	1.00	1.00	0.00	31.00	16.00	13.00
"Zm00001d030004"	292.00	465.00	269.00	563.00	922.00	634.00
"Zm00001d030005"	424.00	524.00	496.00	382.00	465.00	410.00
"Zm00001d030007"	45.00	50.00	90.00	254.00	187.00	170.00
"Zm00001d030009"	808.00	790.00	548.00	919.00	819.00	469.00
"Zm00001d030010"	853.00	911.00	949.00	997.00	1168.00	873.00
"Zm00001d030011"	649.00	780.00	506.00	1650.00	1397.00	1119.00
"Zm00001d030012"	82.00	97.00	126.00	151.00	158.00	130.00
"Zm00001d030014"	295.00	344.00	188.00	544.00	600.00	425.00
"Zm00001d030016"	6.00	8.00	1.00	44.00	30.00	20.00
"Zm00001d030017"	0.00	0.00	0.00	1.00	4.27	2.00
"Zm00001d030018"	38.00	48.00	34.00	58.00	54.00	37.00
"Zm00001d030019"	88.00	104.00	105.00	133.00	149.00	135.00
"Zm00001d030020"	643.99	695.95	568.46	668.97	620.73	551.93
"Zm00001d030021"	2.00	5.00	3.00	5.00	0.00	1.00
"Zm00001d030023"	28.00	11.00	98.00	34.00	29.00	31.00
"Zm00001d030024"	4.00	1.00	0.00	0.00	0.00	0.00
"Zm00001d030026"	264.00	347.00	375.00	961.09	705.00	598.00
"Zm00001d030028"	1558.00	1861.00	3750.00	3261.00	2686.00	2841.00
"Zm00001d030031"	376.00	372.00	334.00	496.00	428.00	360.00
"Zm00001d030032"	135.00	205.00	144.00	1964.00	1747.00	1532.00
"Zm00001d030034"	27.00	52.00	71.00	119.00	144.00	99.00
"Zm00001d030037"	7.00	4.00	2.00	5.00	2.00	6.00
"Zm00001d030038"	171.00	229.00	84.00	8.00	13.00	9.00
"Zm00001d030040"	97.00	134.00	91.00	309.00	320.00	217.00
"Zm00001d030045"	148.00	131.00	91.00	237.00	227.00	178.00
"Zm00001d030048"	2483.00	2737.00	1318.00	1762.00	1350.00	1075.00
"Zm00001d030051"	323.00	387.00	335.00	672.00	437.00	357.00
"Zm00001d030053"	39.00	47.00	32.00	105.00	78.00	82.00
"Zm00001d030061"	109.00	134.00	137.00	157.00	160.00	112.00
"Zm00001d030062"	57.00	58.00	55.00	119.00	145.00	101.00
"Zm00001d030068"	2.00	0.00	0.00	0.00	0.00	0.00
"Zm00001d030069"	8.00	27.00	62.00	8.00	13.00	22.00
"Zm00001d030074"	1714.00	1772.00	2017.00	2361.00	2515.00	1997.00
"Zm00001d030079"	109.00	106.00	124.00	137.00	205.00	127.00
"Zm00001d030080"	87.00	105.00	120.00	83.00	115.00	79.00
"Zm00001d030083"	26.00	27.00	10.00	94.00	73.00	77.00
"Zm00001d030086"	17.00	29.00	18.00	7.00	3.00	8.00
"Zm00001d030087"	161.00	199.00	197.00	548.00	454.00	352.00
"Zm00001d030090"	257.00	263.00	142.00	380.00	362.00	326.00
"Zm00001d030091"	41.00	43.00	46.00	164.00	179.00	157.00
"Zm00001d030094"	5.00	9.00	8.00	20.00	34.00	29.00
"Zm00001d030098"	167.00	204.00	62.00	196.00	205.00	148.00
"Zm00001d030101"	4.00	3.00	5.00	15.00	9.00	10.00
"Zm00001d030102"	0.00	4.00	0.00	0.00	0.00	5.00
"Zm00001d030103"	1407.00	2086.00	1104.00	795.00	888.00	709.00
"Zm00001d030105"	59.00	69.00	138.00	53.00	93.00	75.00
"Zm00001d030106"	2167.19	3215.39	2915.87	2280.63	2023.78	2139.98
"Zm00001d030108"	60.00	53.00	484.00	381.00	420.00	406.00
"Zm00001d030109"	953.00	947.00	1051.00	2095.00	2363.00	1812.00
"Zm00001d030110"	1224.00	1471.00	1703.00	1883.00	1914.00	1597.00
"Zm00001d030114"	37.01	28.65	54.58	44.83	58.04	74.11
"Zm00001d030116"	79.00	69.00	70.00	150.00	157.00	121.00
"Zm00001d030117"	328.00	396.00	382.00	249.00	248.00	258.00
"Zm00001d030121"	128.00	194.00	129.00	58.00	42.00	44.00
"Zm00001d030123"	16.00	9.00	0.00	30.00	24.00	25.00
"Zm00001d030126"	393.00	414.00	444.00	638.00	722.00	527.00
"Zm00001d030127"	14586.00	15922.00	12740.00	8633.00	6099.00	6907.00
"Zm00001d030129"	66.00	86.00	50.00	528.00	562.00	379.00
"Zm00001d030130"	109.00	125.00	150.00	20.00	26.00	36.00
"Zm00001d030131"	228.00	247.00	838.00	467.00	547.00	504.00
"Zm00001d030132"	6.00	13.00	7.00	96.00	79.00	63.00
"Zm00001d030133"	96.00	107.00	639.00	390.00	429.00	445.00
"Zm00001d030138"	143.00	130.00	79.00	199.00	210.00	158.00
"Zm00001d030139"	0.00	0.00	0.00	0.00	0.00	1.00
"Zm00001d030143"	7.00	2.00	3.00	107.00	74.00	74.00
"Zm00001d030146"	306.00	407.00	430.00	499.00	562.00	417.00
"Zm00001d030148"	114.00	155.00	441.00	308.00	398.00	322.00
"Zm00001d030149"	1157.00	1252.00	901.00	1600.00	1471.00	1232.00
"Zm00001d030152"	102.00	126.00	82.00	141.00	127.00	120.00
"Zm00001d030153"	636.00	654.00	771.00	646.00	783.00	585.00
"Zm00001d030154"	6.00	14.00	5.00	24.00	23.00	25.00
"Zm00001d030157"	249.00	284.00	285.00	201.00	235.00	195.00
"Zm00001d030158"	56.00	155.00	122.00	40.00	42.00	45.00
"Zm00001d030159"	1610.00	2161.00	1785.00	2239.00	2331.00	2196.00
"Zm00001d030163"	107.00	131.00	62.00	284.00	114.00	140.00
"Zm00001d030164"	286.00	377.00	498.00	763.00	637.00	705.00
"Zm00001d030165"	11.00	4.00	0.00	1.00	1.00	4.00
"Zm00001d030166"	166.00	269.00	210.00	499.00	425.00	427.00
"Zm00001d030167"	130.00	151.00	119.00	176.00	216.00	168.00
"Zm00001d030171"	53.00	37.00	12.00	624.00	792.00	690.00
"Zm00001d030172"	557.00	727.00	486.00	6736.00	9038.41	5494.00
"Zm00001d030173"	222.00	322.00	197.00	493.00	428.00	491.00
"Zm00001d030174"	1.00	4.00	3.00	3.00	6.00	3.00
"Zm00001d030181"	23.00	43.00	14.00	50.00	53.00	42.00
"Zm00001d030184"	88.00	134.00	114.00	166.00	226.00	198.00
"Zm00001d030191"	105.00	115.00	51.00	150.00	95.00	98.00
"Zm00001d030194"	19.00	17.00	33.00	39.00	26.00	16.00
"Zm00001d030207"	148.00	197.00	195.00	231.00	225.00	147.00
"Zm00001d030212"	0.00	0.00	0.00	76.00	38.00	49.00
"Zm00001d030213"	25.00	32.00	25.00	249.00	304.00	207.00
"Zm00001d030217"	711.00	821.00	906.00	760.00	728.00	601.00
"Zm00001d030220"	110.00	174.00	83.00	463.00	599.00	452.00
"Zm00001d030222"	7.00	6.00	10.00	5.00	0.00	6.00
"Zm00001d030223"	216.00	245.00	262.00	183.00	240.00	149.00
"Zm00001d030227"	4.00	2.00	1.00	27.00	12.00	12.00
"Zm00001d030230"	1.00	0.00	0.00	0.00	1.00	3.00
"Zm00001d030231"	89.00	123.00	52.00	175.00	161.00	129.00
"Zm00001d030235"	27.00	35.00	50.00	10.00	4.00	3.00
"Zm00001d030239"	231.00	222.00	265.00	333.00	252.00	234.00
"Zm00001d030250"	0.00	1.00	0.00	0.00	0.00	0.00
"Zm00001d030251"	0.00	1.00	2.00	13.00	1.00	18.00
"Zm00001d030253"	0.00	0.00	2.00	1.00	2.00	0.00
"Zm00001d030256"	445.00	467.00	415.00	587.00	664.00	457.00
"Zm00001d030261"	0.00	0.00	0.00	7.00	10.00	15.00
"Zm00001d030262"	0.00	0.00	0.00	5.00	4.00	5.00
"Zm00001d030264"	23.45	45.23	22.31	24.98	23.13	17.69
"Zm00001d030266"	475.00	635.00	719.00	1064.00	989.00	900.00
"Zm00001d030267"	10.00	10.00	5.00	9.00	13.00	15.00
"Zm00001d030269"	0.00	0.00	3.00	0.00	0.00	0.00
"Zm00001d030270"	5.00	8.00	5.00	15.00	6.00	4.00
"Zm00001d030275"	36.22	36.97	56.53	3.40	6.74	9.56
"Zm00001d030276"	36.22	36.97	56.53	3.40	6.74	9.56
"Zm00001d030277"	93.57	111.06	110.95	19.20	11.52	19.88
"Zm00001d030280"	4.00	0.00	0.00	0.00	0.00	2.00
"Zm00001d030282"	280.00	295.00	351.00	228.00	200.00	197.00
"Zm00001d030285"	175.00	199.00	236.00	155.00	152.00	122.00
"Zm00001d030290"	0.00	0.00	0.00	0.00	2.00	0.00
"Zm00001d030295"	1.00	2.00	0.00	47.00	61.00	53.00
"Zm00001d030299"	6.00	14.00	4.00	125.00	124.00	92.00
"Zm00001d030300"	20.00	19.00	12.00	21.00	13.00	19.00
"Zm00001d030301"	92.00	102.00	151.00	72.00	164.00	131.00
"Zm00001d030303"	1.00	0.00	2.00	2.00	2.00	2.00
"Zm00001d030304"	314.00	232.00	3181.00	526.00	539.00	1227.00
"Zm00001d030308"	35.00	43.00	27.00	82.00	65.00	68.00
"Zm00001d030310"	1.00	0.00	0.00	0.00	0.00	0.00
"Zm00001d030323"	49.00	43.00	41.00	12.00	10.00	10.00
"Zm00001d030328"	3.00	4.00	0.00	0.00	0.00	0.00
"Zm00001d030329"	2.00	2.00	7.00	2.00	8.00	12.00
"Zm00001d030339"	1.00	1.00	0.00	8.00	0.00	3.00
"Zm00001d030340"	43.00	55.00	40.00	206.00	153.00	160.00
"Zm00001d030342"	0.00	0.00	0.00	4.00	3.00	3.00
"Zm00001d030343"	3.00	6.00	0.00	66.00	86.00	58.00
"Zm00001d030345"	2.00	0.00	3.00	1.00	0.00	0.00
"Zm00001d030346"	0.00	1.00	0.00	0.00	1.00	1.00
"Zm00001d030347"	3.00	11.00	6.00	1.00	5.00	2.00
"Zm00001d030348"	320.00	430.00	214.00	1229.00	2100.00	1093.00
"Zm00001d030357"	395.00	542.00	657.00	720.00	645.00	545.00
"Zm00001d030361"	1.00	0.00	0.00	0.00	0.00	0.00
"Zm00001d030363"	3.00	3.00	2.00	11.00	22.00	18.00
"Zm00001d030366"	224.00	245.00	160.00	388.00	335.00	292.00
"Zm00001d030368"	25.12	36.00	20.47	32.72	39.84	30.13
"Zm00001d030370"	1.00	0.00	0.00	105.00	81.00	97.00
"Zm00001d030372"	75.00	101.00	67.00	58.00	73.00	88.00
"Zm00001d030373"	962.00	1168.00	992.00	2285.00	2331.00	1725.00
"Zm00001d030379"	149.00	149.00	286.00	73.00	159.00	125.00
"Zm00001d030380"	0.00	0.00	0.00	1.00	0.00	1.00
"Zm00001d030381"	94.00	135.00	60.00	330.00	270.00	181.00
"Zm00001d030382"	30.99	36.80	21.16	34.73	52.95	37.22
"Zm00001d030385"	134.00	229.00	191.00	277.00	289.00	252.00
"Zm00001d030393"	0.00	0.00	0.00	4.00	1.00	1.00
"Zm00001d030398"	420.00	468.00	576.00	501.00	505.00	441.00
"Zm00001d030399"	0.00	3.02	0.00	2.10	2.21	1.44
"Zm00001d030401"	0.00	1.00	0.00	0.00	0.00	0.00
"Zm00001d030409"	62.00	48.00	51.00	38.00	68.00	48.00
"Zm00001d030411"	0.00	0.00	0.00	4.00	6.00	2.00
"Zm00001d030412"	1.15	1.04	0.00	3.21	1.12	0.00
"Zm00001d030421"	33.00	27.00	27.00	109.00	97.00	80.00
"Zm00001d030422"	0.00	0.00	0.00	2.89	1.00	0.00
"Zm00001d030423"	0.00	2.62	0.00	0.00	0.00	0.00
"Zm00001d030464"	0.00	0.00	0.00	11.00	14.00	13.00
"Zm00001d030465"	2.00	0.00	0.00	1.00	1.00	0.00
"Zm00001d030470"	19.00	18.00	28.00	7.00	12.00	5.00
"Zm00001d030471"	88.00	161.00	98.00	244.00	171.00	151.00
"Zm00001d030479"	1.00	2.00	0.00	72.00	58.00	45.00
"Zm00001d030494"	3.00	0.00	0.00	1.00	0.00	1.00
"Zm00001d030496"	395.00	418.00	475.00	475.00	562.00	399.00
"Zm00001d030498"	0.00	1.00	2.00	0.00	0.00	0.00
"Zm00001d030500"	169.00	277.00	129.00	101.00	83.00	69.00
"Zm00001d030506"	2.00	2.00	1.00	4.00	4.00	4.00
"Zm00001d030507"	15.00	29.00	8.00	17.00	16.00	13.00
"Zm00001d030508"	39.00	31.00	31.00	62.00	93.00	64.00
"Zm00001d030509"	4.00	7.00	6.00	7.00	11.00	10.00
"Zm00001d030513"	0.00	0.00	0.00	1.00	0.00	0.00
"Zm00001d030516"	100.00	110.89	54.00	110.04	138.18	94.26
"Zm00001d030517"	0.00	0.11	0.00	31.96	16.82	7.74
"Zm00001d030518"	234.00	305.00	335.00	534.00	558.00	473.00
"Zm00001d030523"	18.00	33.00	15.00	41.00	67.00	62.00
"Zm00001d030526"	5907.00	7632.00	7053.00	1794.00	1674.00	1003.00
"Zm00001d030527"	65.00	80.00	64.00	240.00	203.00	150.00
"Zm00001d030529"	0.00	0.00	0.00	2.00	0.00	0.00
"Zm00001d030530"	0.00	0.00	0.00	1.00	0.00	0.00
"Zm00001d030532"	79.00	76.00	92.00	9.00	11.00	5.00
"Zm00001d030533"	380.00	423.00	466.00	532.00	601.00	520.00
"Zm00001d030542"	3.00	2.00	6.00	151.00	284.00	218.00
"Zm00001d030544"	32.00	44.00	12.00	320.00	298.00	250.00
"Zm00001d030548"	115.00	70.00	39.00	5956.00	8255.00	5469.00
"Zm00001d030549"	580.00	658.00	429.00	852.00	807.00	738.00
"Zm00001d030550"	0.00	0.00	0.00	230.00	326.00	208.00
"Zm00001d030551"	0.00	5.00	0.00	8.00	2.00	3.00
"Zm00001d030554"	38.00	61.00	69.00	108.00	106.00	72.00
"Zm00001d030555"	0.00	5.00	1.00	49.00	39.00	25.00
"Zm00001d030556"	375.00	454.00	310.00	450.00	314.00	376.00
"Zm00001d030557"	19411.00	22183.00	13962.00	5720.00	4397.00	4843.00
"Zm00001d030558"	0.00	0.00	0.00	0.00	3.00	2.00
"Zm00001d030561"	221.00	314.00	322.00	591.00	745.00	587.00
"Zm00001d030572"	0.00	0.00	0.00	1.00	1.00	1.00
"Zm00001d030573"	375.00	390.00	515.00	282.00	381.00	276.00
"Zm00001d030574"	11.28	25.32	37.67	9.89	2.95	6.00
"Zm00001d030575"	0.00	1.00	0.00	21.00	7.00	14.00
"Zm00001d030577"	123.00	114.00	142.00	319.00	436.00	331.00
"Zm00001d030578"	1.00	2.00	0.00	0.00	2.00	0.00
"Zm00001d030579"	380.00	541.00	470.00	555.00	679.00	499.00
"Zm00001d030581"	218.00	239.00	144.00	277.00	154.00	165.00
"Zm00001d030584"	21.00	34.00	58.00	100.00	106.00	70.00
"Zm00001d030587"	16.00	20.00	50.00	20.00	33.00	27.00
"Zm00001d030588"	6.00	5.00	2.00	27.00	22.00	16.00
"Zm00001d030593"	606.00	657.00	645.00	550.00	598.00	467.00
"Zm00001d030598"	127.00	159.00	148.00	547.00	587.00	455.00
"Zm00001d030601"	36.00	38.00	69.00	131.00	146.00	108.00
"Zm00001d030602"	1.00	0.00	0.00	1.00	3.00	0.00
"Zm00001d030603"	18.00	43.44	13.00	21.00	30.00	11.00
"Zm00001d030609"	49.00	41.00	53.00	175.00	185.00	123.00
"Zm00001d030612"	40.00	58.00	69.00	160.00	201.00	175.00
"Zm00001d030613"	13.00	34.00	26.00	51.00	48.00	31.00
"Zm00001d030614"	0.00	0.00	0.00	17.00	7.00	1.00
"Zm00001d030617"	1353.00	1736.00	1280.00	2736.00	3029.00	2394.00
"Zm00001d030618"	99.00	61.00	96.00	46.00	79.00	41.00
"Zm00001d030620"	426.00	480.00	527.00	406.00	495.00	364.00
"Zm00001d030622"	0.00	0.00	0.00	2.00	0.00	0.00
"Zm00001d030623"	2347.00	2650.00	3504.00	475.00	665.00	566.00
"Zm00001d030624"	448.00	418.00	294.00	851.00	616.00	515.00
"Zm00001d030626"	445.00	594.00	660.00	325.00	311.00	234.00
"Zm00001d030627"	74.00	42.00	84.00	116.00	144.00	106.00
"Zm00001d030638"	738.00	657.00	812.00	683.00	899.00	749.00
"Zm00001d030639"	43.00	45.00	12.00	48.00	53.00	47.00
"Zm00001d030640"	61.00	92.00	72.00	318.00	290.00	208.00
"Zm00001d030644"	0.00	0.00	3.00	30.00	31.00	20.00
"Zm00001d030652"	74.00	102.00	84.00	153.00	157.00	117.00
"Zm00001d030656"	5.00	7.00	2.00	2.00	3.00	2.00
"Zm00001d030657"	214.67	232.00	215.00	361.00	439.97	347.99
"Zm00001d030659"	848.00	982.00	1228.00	1025.00	1018.00	817.00
"Zm00001d030661"	0.00	3.00	1.00	11.00	2.00	6.00
"Zm00001d030662"	5.00	5.78	5.00	11.52	15.32	14.56
"Zm00001d030665"	287.00	295.00	290.00	239.00	307.00	230.00
"Zm00001d030666"	263.00	304.00	463.00	800.00	664.00	705.00
"Zm00001d030667"	0.00	2.00	5.00	2.00	0.00	0.00
"Zm00001d030672"	74.03	103.89	32.00	257.19	215.25	201.27
"Zm00001d030675"	484.00	605.00	582.00	347.00	473.00	335.00
"Zm00001d030676"	13.00	8.00	5.00	18.00	14.00	14.00
"Zm00001d030677"	591.00	685.00	708.00	890.00	779.00	712.00
"Zm00001d030678"	945.00	976.00	945.00	105.00	153.00	120.00
"Zm00001d030679"	1.00	0.00	3.00	1.00	1.46	1.00
"Zm00001d030680"	0.00	2.00	0.00	0.00	0.54	1.00
"Zm00001d030682"	0.00	1.00	0.00	26.00	19.00	10.00
"Zm00001d030683"	12.00	5.00	1.00	66.00	59.00	37.00
"Zm00001d030685"	0.60	0.60	0.20	0.00	0.89	0.60
"Zm00001d030688"	3412.00	3772.00	4926.00	2384.00	2542.00	2224.00
"Zm00001d030690"	321.00	291.00	549.00	227.00	335.00	272.00
"Zm00001d030691"	1015.00	1074.00	754.00	1353.00	1475.00	1137.00
"Zm00001d030694"	295.00	318.00	363.00	837.00	860.00	722.00
"Zm00001d030697"	63.00	60.00	31.00	25.00	33.00	21.00
"Zm00001d030698"	5.00	1.00	0.00	0.00	0.00	1.00
"Zm00001d030701"	87.00	115.00	59.00	272.00	347.00	222.00
"Zm00001d030713"	2.00	5.00	3.00	1.00	2.00	3.00
"Zm00001d030717"	2.00	1.00	0.00	37.00	25.00	34.00
"Zm00001d030724"	1.21	7.00	0.00	19.76	16.44	6.61
"Zm00001d030725"	7006.00	7335.00	7158.00	7379.00	6522.00	6469.00
"Zm00001d030726"	3.00	5.00	6.26	0.00	0.00	2.00
"Zm00001d030727"	114.00	103.00	57.00	86.00	59.00	52.00
"Zm00001d030732"	407.00	555.00	471.00	853.00	940.00	746.00
"Zm00001d030733"	0.00	1.00	0.00	0.00	0.00	0.00
"Zm00001d030737"	4.00	7.00	3.00	11.00	4.00	12.00
"Zm00001d030739"	707.00	889.00	638.00	477.00	539.00	376.00
"Zm00001d030741"	2.00	3.00	0.00	2.00	0.00	2.00
"Zm00001d030742"	29.00	52.00	51.00	62.00	79.00	52.00
"Zm00001d030744"	79.00	87.00	45.00	304.00	279.00	219.00
"Zm00001d030759"	34.00	31.00	29.00	87.00	73.00	54.00
"Zm00001d030760"	311.00	346.00	235.00	548.00	499.00	469.00
"Zm00001d030761"	1.01	0.00	0.00	0.00	0.00	0.00
"Zm00001d030762"	8243.00	9506.00	7613.00	3017.00	2771.00	2822.00
"Zm00001d030764"	2.00	0.00	0.00	0.00	1.00	1.00
"Zm00001d030765"	249.00	363.00	262.00	509.00	603.00	445.00
"Zm00001d030766"	298.00	213.00	175.00	43.00	45.00	40.00
"Zm00001d030767"	0.00	1.00	0.00	4.00	10.00	1.00
"Zm00001d030770"	202.00	246.00	211.00	249.00	199.00	207.00
"Zm00001d030772"	0.00	1.00	0.00	1.00	0.00	1.00
"Zm00001d030773"	0.00	0.00	1.00	0.00	0.00	0.00
"Zm00001d030774"	674.00	962.00	971.00	1043.00	920.00	875.00
"Zm00001d030775"	0.00	0.00	0.00	1.00	0.00	0.00
"Zm00001d030777"	0.00	1.00	0.00	4.00	0.00	1.00
"Zm00001d030780"	2.00	4.00	1.00	1.00	0.00	0.00
"Zm00001d030782"	0.00	2.00	0.00	2.00	2.00	1.00
"Zm00001d030784"	45.00	40.00	32.00	40.00	36.00	41.00
"Zm00001d030786"	1110.00	1143.00	1205.00	887.00	1030.00	847.00
"Zm00001d030790"	39.00	35.00	93.00	205.00	224.00	183.00
"Zm00001d030795"	10.00	16.00	8.00	16.00	8.00	13.00
"Zm00001d030796"	47.00	43.00	45.00	74.00	110.00	85.00
"Zm00001d030815"	1.71	1.11	8.26	0.00	3.29	0.00
"Zm00001d030832"	421.00	490.00	387.00	2163.00	2101.00	1542.00
"Zm00001d030833"	14.00	22.00	15.00	18.00	25.00	19.00
"Zm00001d030834"	1.00	1.00	0.00	0.00	0.00	0.00
"Zm00001d030837"	11.00	23.00	4.00	31.00	34.00	19.00
"Zm00001d030841"	7.00	8.00	5.00	10.00	1.00	0.00
"Zm00001d030843"	12.00	15.00	24.00	66.00	47.00	42.00
"Zm00001d030845"	5.00	2.00	1.00	1.00	0.00	2.00
"Zm00001d030846"	69.00	67.00	84.00	307.00	317.00	225.00
"Zm00001d030849"	72.00	85.00	33.00	43.00	30.00	19.00
"Zm00001d030850"	62.00	48.00	19.00	53.00	43.00	19.00
"Zm00001d030851"	39.00	63.00	52.00	38.00	39.00	25.00
"Zm00001d030856"	168.00	318.00	207.00	2050.00	2346.00	1610.00
"Zm00001d030858"	85.00	83.00	120.00	106.00	191.00	117.00
"Zm00001d030859"	1766.00	2094.00	1464.00	3185.00	2397.00	1825.00
"Zm00001d030860"	29.00	75.00	60.00	78.00	83.00	70.00
"Zm00001d030862"	3.00	5.00	7.00	5.00	10.00	4.00
"Zm00001d030863"	101.00	107.00	84.00	149.00	181.00	146.00
"Zm00001d030864"	5.00	2.00	0.00	0.00	0.00	2.00
"Zm00001d030866"	2.03	3.08	0.00	3.07	1.00	1.06
"Zm00001d030868"	887.00	1080.00	1196.00	1402.00	1330.00	1084.00
"Zm00001d030870"	45.33	43.95	47.81	22.19	22.39	25.25
"Zm00001d030877"	0.00	1.00	0.00	1.00	2.00	0.00
"Zm00001d030881"	0.00	0.00	1.00	0.00	0.00	0.00
"Zm00001d030888"	1493.00	2007.00	1219.00	3295.00	2470.00	2348.00
"Zm00001d030891"	1262.00	1483.00	1080.00	636.00	731.00	730.00
