geneid	a1	a2	a3	b1	b2	b3
"ZemaCp022"	327.00	102.00	327.00	118.00	124.00	103.00
"ZemaCp023"	333.21	139.72	350.84	125.57	136.82	146.52
"ZemaCp024"	124.00	130.00	181.00	71.00	76.00	73.00
"ZemaCp026"	8.00	19.00	31.00	8.00	14.00	9.00
"ZemaCp027"	24.00	5.00	23.00	9.00	2.00	5.00
"ZemaCp028"	40.00	22.00	55.00	16.00	9.00	8.00
"ZemaCp029"	33.00	18.00	47.00	2.00	13.00	8.00
"ZemaCp030"	3.00	4.00	2.00	1.00	1.00	0.00
"ZemaCp031"	25.15	5.49	12.93	5.39	2.69	5.65
"ZemaCp032"	0.00	0.00	9.09	0.00	0.00	0.00
"ZemaCp034"	24.00	19.00	33.00	0.00	21.40	7.37
"ZemaCp035"	24.00	16.00	49.00	15.00	15.00	10.00
"ZemaCp036"	15.90	11.46	34.67	11.13	8.17	16.50
"ZemaCp040"	6.00	3.00	3.00	2.00	5.00	2.00
"ZemaCp044"	4.00	1.00	7.00	0.00	0.00	0.00
"ZemaCp045"	34.00	32.00	61.00	8.00	14.00	12.00
"ZemaCp046"	11.00	2.00	16.00	3.00	3.00	0.00
"ZemaCp047"	17.00	8.00	29.00	4.00	2.00	6.00
"ZemaCp048"	182.00	33.70	108.59	52.00	29.08	41.00
"ZemaCp051"	2.00	1.00	7.00	1.00	0.00	1.00
"ZemaCp052"	73.00	23.00	38.00	25.00	12.00	23.00
"ZemaCp053"	87.99	42.00	73.99	25.00	38.00	30.00
"ZemaCp054"	38.00	24.00	76.00	11.00	18.00	16.00
"ZemaCp055"	18.00	25.00	45.00	8.00	12.00	12.00
"ZemaCp057"	0.00	1.00	0.00	0.00	0.00	1.00
"ZemaCp058"	5.00	7.00	19.00	2.00	4.00	7.00
"ZemaCp059"	2.00	5.00	17.00	1.00	2.00	3.00
"ZemaCp060"	3.00	3.00	4.00	1.00	1.00	2.00
"ZemaCp061"	3.00	3.00	14.00	2.00	3.00	2.00
"ZemaCp062"	1.00	3.00	7.00	2.00	1.00	1.00
"ZemaCp063"	1.50	1.00	0.50	0.50	0.50	2.50
"ZemaCp065"	0.00	0.00	0.00	0.00	1.00	1.70
"ZemaCp066"	0.00	0.00	0.00	0.00	0.00	0.31
"ZemaCp067"	0.00	0.50	0.00	0.00	0.00	0.00
"ZemaCp070"	0.00	0.00	0.00	0.00	1.00	0.00
"ZemaCp071"	0.00	0.00	0.00	0.50	0.00	0.50
"ZemaCp073"	0.00	0.00	0.00	0.00	1.00	0.00
"ZemaCp074"	0.00	0.50	0.50	0.00	0.00	0.00
"ZemaCp075"	3.00	13.66	4.50	6.49	9.00	7.13
"ZemaCp076"	4.00	9.00	7.00	2.33	5.33	4.33
"ZemaCp082"	4.00	0.50	1.50	0.00	0.00	0.50
"ZemaCp083"	39.00	22.00	95.00	24.00	37.00	34.00
"ZemaCp085"	45.00	32.00	105.00	3.00	10.00	10.00
"ZemaCp086"	131.00	143.00	444.00	39.00	44.00	45.00
"ZemaCp087"	5.00	4.00	5.00	1.00	1.00	1.00
"ZemaCp088"	7.00	1.00	10.00	0.00	0.00	0.00
"ZemaCp089"	24.00	18.00	35.00	12.00	0.00	0.00
"ZemaCp090"	14.00	8.00	28.00	9.00	0.00	0.00
"ZemaCp091"	36.00	21.00	42.00	5.00	8.00	4.00
"ZemaCp092"	21.00	17.00	33.00	1.00	4.00	4.00
"ZemaCp093"	4.00	0.50	1.50	0.00	0.00	0.50
"ZemaCp100"	4.00	9.00	7.00	2.33	5.33	4.33
"ZemaCp101"	3.00	13.66	4.50	6.49	9.00	7.13
"ZemaCp102"	0.00	0.50	0.50	0.00	0.00	0.00
"ZemaCp103"	0.00	0.00	0.00	0.00	1.00	0.00
"ZemaCp104"	0.00	0.00	0.00	0.50	0.00	0.50
"ZemaCp105"	0.00	0.00	0.00	0.00	1.00	0.00
"ZemaCp108"	0.00	0.50	0.00	0.00	0.00	0.00
"ZemaCp109"	0.00	0.00	0.00	0.00	1.00	1.70
"ZemaCp110"	0.00	0.00	0.00	0.00	0.00	0.31
"ZemaCp112"	1.50	1.00	0.50	0.50	0.50	2.50
"ZemaCr113"	0.00	8.01	2.59	2.73	2.76	12.14
"ZemaCr114"	9.00	1461.94	0.00	2114.07	1609.14	1831.79
"ZemaCr119"	9.00	1461.94	0.00	81.12	1609.14	1831.79
"ZemaCr120"	0.00	2.34	2.59	2.73	2.76	12.14
"Zm00001d000001"	124.00	137.00	110.00	447.00	345.00	237.00
"Zm00001d000002"	0.00	0.00	0.00	1.00	1.00	0.00
"Zm00001d000004"	181.00	219.00	163.00	250.00	263.00	179.00
"Zm00001d000005"	5.00	7.00	1.00	10.00	5.00	0.00
"Zm00001d000006"	0.00	1.00	5.00	0.00	0.00	0.00
"Zm00001d000008"	0.00	0.00	0.00	0.00	1.00	0.00
"Zm00001d000012"	0.00	0.00	1.00	2.00	15.00	4.00
"Zm00001d000016"	45.00	73.00	3.00	0.00	0.00	0.00
"Zm00001d000017"	0.00	0.00	0.00	2.00	4.00	2.00
"Zm00001d000018"	0.00	0.00	7.00	7.00	20.00	12.00
"Zm00001d000019"	1.00	1.00	0.00	0.00	1.00	0.00
"Zm00001d000020"	446.00	438.00	275.00	3.00	2.00	0.00
"Zm00001d000021"	334.00	395.00	387.00	436.00	696.95	424.00
"Zm00001d000023"	79.00	87.00	93.00	129.00	89.00	83.00
"Zm00001d000027"	0.00	8.31	4.00	2.10	4.93	7.15
"Zm00001d000028"	54.00	43.00	60.00	111.00	161.00	83.00
"Zm00001d000029"	432.00	454.00	399.00	665.00	745.00	560.00
"Zm00001d000030"	383.00	454.00	273.00	458.00	571.00	417.00
"Zm00001d000034"	1.00	2.00	3.00	7.00	8.00	1.00
"Zm00001d000035"	24.00	37.00	24.00	80.00	72.00	61.00
"Zm00001d000036"	92.98	100.10	155.87	587.93	556.75	498.16
"Zm00001d000037"	166.00	112.00	311.00	89.00	72.00	50.00
"Zm00001d000038"	6.00	1.00	2.00	1.00	6.00	4.00
